1|La Vérité sur l'affaire Harry Quebert|Joël Dicker|Roman|Policier|Bref résumé lul|5|22|La-verite-sur-l-affaire-Harry-Quebert.jpg 
2|One Piece - Tome 1|Eichiro Oda|Manga|Shonen|Pirate et compagnie|4|6,90|OP1.jpg
3|Les Chevaliers d'Emeraude - tome 1 Le feu dans le ciel|Anne Robillard|Roman|Fantasy|blabla chevaliers 1|4|15,30|LCE1.jpg
4|Les Chevaliers d'Emeraude - tome 2 Les dragons de l'empereur noir|Anne Robillard|Roman|Fantasy|blabla chevaliers 2|7|15,30|LCE2.jpg
5|Les Chevaliers d'Emeraude - tome 3 Piège au royaumes des ombres|Anne Robillard|Roman|Fantasy|blabla chevaliers 3|2|15,30|LCE3.jpg
6|Les Chevaliers d'Emeraude - tome 4 La Princesse rebelle|Anne Robillard|Roman|Fantasy|blabla chevaliers 4|3|15,30|LCE4.jpg
7|Les Chevaliers d'Emeraude - tome 5 L'Île des lézards|Anne Robillard|Roman|Fantasy|blabla chevaliers 5|8|15,30|LCE5.jpg
8|Les Chevaliers d'Emeraude - tome 6 Le Journal d'Onyx|Anne Robillard|Roman|Fantasy|blabla chevaliers 6|10|15,30|LCE6.jpg
9|Les Chevaliers d'Emeraude - tome 7 L'Enlèvement|Anne Robillard|Roman|Fantasy|blabla chevaliers 7|4|15,30|LCE7.jpg
10|Les Chevaliers d'Emeraude - tome 8 Les Dieux déchus|Anne Robillard|Roman|Fantasy|blabla chevaliers 8|3|15,30|LCE8.jpg
11|Les Chevaliers d'Emeraude - tome 9 L'Héritage de Danalieth,|Anne Robillard|Roman|Fantasy|blabla chevaliers 9|7|15,30|LCE9.jpg
12|Les Chevaliers d'Emeraude - tome 10 Représailles|Anne Robillard|Roman|Fantasy|blabla chevaliers 10|9|15,30|LCE10.jpg
13|Les Chevaliers d'Emeraude - tome 11 La Justice céleste|Anne Robillard|Roman|Fantasy|blabla chevaliers 11|8|15,30|LCE11.jpg
14|Les Chevaliers d'Emeraude - tome 12 Irianeth|Anne Robillard|Roman|Fantasy|blabla chevaliers 12|11|15,30|LCE12.jpg
