1|La Vérité sur l'affaire Harry Quebert|Joël Dicker|Roman|Policier|Bref résumé lul|5|22
2|One Piece - Tome 1|Eichiro Oda|Manga|Shōnen|Pirate et compagnie|4|6,90
3|Tintin au Congo|Hergé|Bande Dessinée|Aventure|Tu connais pas Tintin au Congo ?|8|11,50
4|Re : Zéro - : Re : vivre dans un autre monde à partir de zéro|Tappei Nagatsuki|Light Novel|Fantasy|Vivre, mourir et recommencer|0|13,99
5|Les Chevaliers d'Emeraude - tome 1 Le feu dans le ciel|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 1|4|15,30
6|Les Chevaliers d'Emeraude - tome 2 Les dragons de l'empereur noir|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 2|7|15,30
7|Les Chevaliers d'Emeraude - tome 3 Piège au royaumes des ombres|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 3|2|15,30
8|Les Chevaliers d'Emeraude - tome 4 La Princesse rebelle|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 4|3|15,30
9|Les Chevaliers d'Emeraude - tome 5 L'Île des lézards|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 5|8|15,30
10|Les Chevaliers d'Emeraude - tome 6 Le Journal d'Onyx|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 6|10|15,30
11|Les Chevaliers d'Emeraude - tome 7 L'Enlèvement|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 7|4|15,30
12|Les Chevaliers d'Emeraude - tome 8 Les Dieux déchus|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 8|3|15,30
13|Les Chevaliers d'Emeraude - tome 9 L'Héritage de Danalieth,|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 9|7|15,30
14|Les Chevaliers d'Emeraude - tome 10 Représailles|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 10|9|15,30
15|Les Chevaliers d'Emeraude - tome 11 La Justice céleste|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 11|8|15,30
16|Les Chevaliers d'Emeraude - tome 12 Irianeth|Anne Robillard|Roman|Heroic Fantasy|blabla chevaliers 12|11|15,30
